City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,eirunepe,-6.6603,-69.8736,24.02,84,71,1.16,BR,1697094617
1,port-aux-francais,-49.35,70.2167,1.69,100,100,6.77,TF,1697094617
2,ilulissat,69.2167,-51.1,-2.99,74,75,7.72,GL,1697094617
3,wegrow,52.3995,22.0163,18.27,60,100,7.87,PL,1697094617
4,poronaysk,49.2167,143.1167,14.05,46,7,4.37,RU,1697094553
5,mongagua,-24.0931,-46.6208,23.14,88,100,4.67,BR,1697094342
6,deschutes river woods,43.9915,-121.3584,6.77,82,40,0.0,US,1697094618
7,nabire,-3.3667,135.4833,29.01,71,100,1.83,ID,1697094567
8,tibiri,13.5627,7.0485,29.75,27,91,3.84,NE,1697094619
9,ulaangom,49.9811,92.0667,16.25,34,9,2.74,MN,1697094619
10,badger,64.8,-147.5333,-4.07,90,100,0.0,US,1697094619
11,tromso,69.6496,18.957,3.01,70,40,6.69,NO,1697094619
12,ban na san,8.8004,99.3637,32.14,99,71,1.28,TH,1697094620
13,turpan,42.9333,89.1667,29.51,14,0,1.59,CN,1697094620
14,rahuri,19.3833,74.65,32.46,34,0,3.66,IN,1697094620
15,la ronge,55.1001,-105.2842,6.73,90,6,2.73,CA,1697094620
16,al kharijah,25.4514,30.5464,26.82,36,0,6.65,EG,1697094620
17,zakamensk,50.3741,103.2863,15.24,36,14,1.09,RU,1697094621
18,bethel,41.3712,-73.414,11.63,92,0,0.0,US,1697094621
19,malinyi,-8.9333,36.1333,31.36,38,20,0.69,TZ,1697094556
20,princeville,45.7668,-61.2985,13.84,96,100,0.45,CA,1697094621
21,kerikeri,-35.2268,173.9474,13.28,79,0,3.31,NZ,1697094621
22,hamilton,39.1834,-84.5333,13.21,87,0,2.57,US,1697094543
23,namibe,-15.1961,12.1522,21.4,81,15,1.91,AO,1697094622
24,paysandu,-32.3214,-58.0756,4.37,86,0,3.24,UY,1697094472
25,yellowknife,62.456,-114.3525,7.45,100,100,3.09,CA,1697094612
26,qusmuryn,52.4503,64.6311,8.38,40,0,7.09,KZ,1697094622
27,bilibino,68.0546,166.4372,-6.69,87,100,2.7,RU,1697094623
28,grytviken,-54.2811,-36.5092,-4.05,69,99,1.04,GS,1697094623
29,iqaluit,63.7506,-68.5145,-1.28,86,17,2.24,CA,1697094623
30,cidreira,-30.1811,-50.2056,15.7,91,100,7.5,BR,1697094623
31,sitka,57.0531,-135.33,7.94,81,40,0.0,US,1697094558
32,papatowai,-46.5619,169.4708,11.06,78,80,5.24,NZ,1697094624
33,avarua,-21.2078,-159.775,23.03,78,75,4.63,CK,1697094624
34,hell-ville,-13.4,48.2667,25.2,81,100,1.44,MG,1697094624
35,bredasdorp,-34.5322,20.0403,17.2,77,41,5.51,ZA,1697094624
36,minas de marcona,-15.2119,-75.1103,13.06,88,100,5.32,PE,1697094625
37,newman,37.3138,-121.0208,15.99,62,3,1.79,US,1697094625
38,ushuaia,-54.8,-68.3,5.81,75,0,11.83,AR,1697094625
39,jalai nur,49.45,117.7,15.77,33,0,5.13,CN,1697094626
40,waitangi,-43.9535,-176.5597,9.9,77,7,4.02,NZ,1697094528
41,darwin,-12.4611,130.8418,32.72,51,20,4.63,AU,1697094626
42,qamdo,31.1667,97.2333,1.84,80,100,3.11,CN,1697094626
43,adamstown,-25.066,-130.1015,20.3,74,27,6.13,PN,1697094626
44,utrik,11.2278,169.8474,28.22,78,100,5.09,MH,1697094627
45,tiksi,71.6872,128.8694,-5.19,79,100,6.44,RU,1697094627
46,blackmans bay,-43.0167,147.3167,15.07,80,100,1.98,AU,1697094627
47,conduaga,8.862,117.4893,30.09,68,91,2.43,PH,1697094627
48,smithers,54.7804,-127.1743,6.18,100,100,1.03,CA,1697094487
49,puerto deseado,-47.7503,-65.8938,5.76,72,30,5.88,AR,1697094628
50,smiths station,32.5401,-85.0985,15.98,100,100,4.63,US,1697094628
51,tarawa,1.419,172.984,29.05,74,75,0.51,KI,1697094628
52,kapshagay,43.8833,77.0833,26.24,17,8,9.41,KZ,1697094629
53,dryden,49.7833,-92.7503,6.38,89,100,1.85,CA,1697094629
54,constantia,44.1833,28.65,17.61,58,0,5.03,RO,1697094629
55,hengchun,22.0042,120.7439,27.54,72,24,8.41,TW,1697094629
56,kuchinda,21.7333,84.35,33.98,51,5,1.82,IN,1697094629
57,haiku-pauwela,20.9219,-156.3051,24.47,75,20,5.14,US,1697094630
58,wailua homesteads,22.0669,-159.378,25.44,80,40,7.2,US,1697094630
59,taoudenni,22.6783,-3.9836,26.53,19,0,5.48,ML,1697094630
60,edinburgh of the seven seas,-37.0676,-12.3116,13.47,74,44,8.94,SH,1697094630
61,thompson,55.7435,-97.8558,5.22,95,88,1.15,CA,1697094630
62,saint-pierre,-21.3393,55.4781,26.98,65,98,4.63,RE,1697094631
63,invercargill,-46.4,168.35,11.68,87,97,3.13,NZ,1697094631
64,longyearbyen,78.2186,15.6401,-3.09,63,75,7.2,SJ,1697094631
65,art khwajah,37.0857,69.4796,31.7,8,0,2.7,AF,1697094631
66,albany,42.6001,-73.9662,11.36,85,89,0.82,US,1697094632
67,sierpc,52.8568,19.6691,16.08,72,100,4.64,PL,1697094632
68,kapuskasing,49.4169,-82.4331,4.77,93,100,2.09,CA,1697094632
69,ellsworth,44.5434,-68.4195,11.59,97,75,0.0,US,1697094632
70,lae,-6.7221,146.9847,27.37,78,100,2.24,PG,1697094632
71,kunduz,36.75,68.75,30.88,9,32,5.76,AF,1697094633
72,carnarvon,-24.8667,113.6333,25.68,51,16,10.33,AU,1697094633
73,buturlino,55.5667,44.8974,5.25,62,100,10.06,RU,1697094633
74,jagna,9.6531,124.3697,29.52,73,48,2.86,PH,1697094633
75,ribeira grande,38.5167,-28.7,20.22,83,75,7.2,PT,1697094338
76,puerto ayora,-0.7393,-90.3518,24.19,91,100,2.24,EC,1697094634
77,jamestown,42.097,-79.2353,7.77,100,75,0.0,US,1697094579
78,puerto el triunfo,13.2833,-88.55,25.76,89,100,1.45,SV,1697094634
79,muisne,0.6,-80.0333,24.39,89,100,4.91,EC,1697094634
80,cova figueira,14.8905,-24.2934,25.27,72,92,2.83,CV,1697094635
81,al artawiyah,26.5053,45.3444,35.98,10,0,3.39,SA,1697094635
82,kidal,18.4411,1.4078,28.5,15,13,4.07,ML,1697094635
83,anadyr,64.75,177.4833,0.28,100,100,17.0,RU,1697094635
84,afaahiti,-17.75,-149.2833,25.59,85,7,6.87,PF,1697094636
85,khanty-mansiysk,61.0042,69.0019,4.06,52,0,6.0,RU,1697094636
86,siverek,37.755,39.3167,22.76,23,0,4.72,TR,1697094636
87,chinchilla,-26.75,150.6333,29.48,21,1,4.77,AU,1697094636
88,puerto natales,-51.7236,-72.4875,2.43,96,38,3.28,CL,1697094637
89,luderitz,-26.6481,15.1594,16.18,62,53,4.8,NA,1697094637
90,broome,42.2506,-75.833,9.0,89,0,2.06,US,1697094637
91,tralee,52.2704,-9.7026,10.16,87,99,1.34,IE,1697094637
92,echuca,-36.1333,144.75,15.54,57,82,7.25,AU,1697094638
93,uba,-21.12,-42.9428,21.72,78,100,2.38,BR,1697094638
94,la passe,45.5549,-0.8967,12.13,67,26,2.25,FR,1697094638
95,kalmunai,7.4167,81.8167,29.38,71,88,3.39,LK,1697094556
96,an nuhud,12.7,28.4333,29.43,50,12,4.29,SD,1697094638
97,rio grande,-32.035,-52.0986,10.53,65,100,8.01,BR,1697094413
98,bom jardim,-7.7958,-35.5872,18.89,97,43,1.17,BR,1697094639
99,chippewa falls,44.9369,-91.3929,6.1,87,0,3.6,US,1697094639
100,malakal,9.5334,31.6605,28.43,59,80,2.4,SS,1697094639
101,enewetak,11.3474,162.3373,28.73,74,17,5.29,MH,1697094639
102,magadan,59.5667,150.8,-4.54,74,100,4.02,RU,1697094640
103,port elizabeth,-33.918,25.5701,22.14,63,100,6.0,ZA,1697094569
104,kabalo,-6.05,26.9167,28.72,55,84,1.89,CD,1697094623
105,guiuan,11.0333,125.7247,29.03,70,10,0.45,PH,1697094641
106,port mathurin,-19.6833,63.4167,23.85,73,33,4.4,MU,1697094641
107,antsiranana,-12.2787,49.2917,30.09,46,98,5.28,MG,1697094641
108,marsh harbour,26.5412,-77.0636,28.16,83,100,5.85,BS,1697094643
109,yung shue wan,22.2333,114.1167,28.15,71,28,2.8,HK,1697094643
110,fortuna,40.5982,-124.1573,10.37,96,20,0.0,US,1697094643
111,maralal,1.0968,36.698,22.12,45,98,2.23,KE,1697094644
112,wulingyuan,29.3494,110.5441,15.09,96,100,0.48,CN,1697094644
113,tolanaro,-25.0319,46.9987,21.32,90,100,3.94,MG,1697094644
114,margaret river,-33.95,115.0667,19.66,52,0,4.81,AU,1697094644
115,fuli,46.7217,131.1394,19.65,39,28,6.03,CN,1697094644
116,inirida,3.8653,-67.9239,22.85,97,25,0.81,CO,1697094645
117,hermanus,-34.4187,19.2345,15.76,82,90,3.97,ZA,1697094645
118,port lincoln,-34.7333,135.8667,15.52,61,15,7.2,AU,1697094645
119,susuman,62.7833,148.1667,-12.23,77,100,0.89,RU,1697094645
120,west island,-12.1568,96.8225,27.99,69,75,8.23,CC,1697094645
121,happy valley-goose bay,53.3168,-60.3315,9.51,88,38,0.83,CA,1697094646
122,somanda,-3.3667,33.95,27.25,44,100,1.97,TZ,1697094646
123,idri,27.5,13.2667,23.02,36,10,4.71,LY,1697094646
124,caleta de carquin,-11.0925,-77.6267,18.27,87,96,4.59,PE,1697094646
125,hilo,19.7297,-155.09,22.92,92,75,2.57,US,1697094647
126,college,64.8569,-147.8028,-4.03,80,75,0.0,US,1697094647
127,karratha,-20.7377,116.8463,35.47,21,13,6.0,AU,1697094647
128,muravlenko,63.7898,74.523,1.69,99,100,2.08,RU,1697094647
129,praia da vitoria,38.7333,-27.0667,17.64,95,8,3.73,PT,1697094647
130,maragogi,-9.0122,-35.2225,22.87,86,39,1.46,BR,1697094648
131,bikenibeu village,1.3673,173.1241,28.98,74,75,0.51,KI,1697094648
132,whitehorse,60.7161,-135.0538,1.56,80,100,1.79,CA,1697094648
133,thunder bay,48.4001,-89.3168,5.48,92,23,2.14,CA,1697094642
134,les cayes,18.2,-73.75,27.03,78,78,2.36,HT,1697094648
135,siocon,7.7061,122.1353,29.05,74,100,2.49,PH,1697094649
136,severobaykal'sk,55.65,109.3167,6.95,79,100,1.7,RU,1697094630
137,st. john's,47.5649,-52.7093,12.21,96,100,1.54,CA,1697094367
138,zhangatas,43.5667,69.75,16.83,31,100,1.09,KZ,1697094649
139,shaowu,27.3409,117.4831,23.34,73,87,0.69,CN,1697094650
140,kodiak,57.79,-152.4072,0.73,60,0,4.12,US,1697094650
141,polyarnyy,69.1989,33.4478,2.36,97,100,13.87,RU,1697094650
142,boende,-0.2167,20.8667,26.22,73,100,0.48,CD,1697094650
143,pisco,-13.7,-76.2167,18.03,82,59,2.57,PE,1697094650
144,codrington,-38.2667,141.9667,12.84,64,100,8.56,AU,1697094651
145,chibuto,-24.6867,33.5306,29.04,41,11,4.14,MZ,1697094636
146,new norfolk,-42.7826,147.0587,15.72,84,100,1.65,AU,1697094651
147,agaie,9.0167,6.3167,26.34,83,100,0.56,NG,1697094651
148,ulsteinvik,62.3432,5.8487,9.62,86,82,10.73,NO,1697094651
149,borodinskiy,53.9986,37.8179,7.84,58,100,10.96,RU,1697094652
150,hualien city,23.9769,121.6044,25.51,86,84,5.17,TW,1697094652
151,kaitong,44.8135,123.15,21.83,25,93,2.74,CN,1697094652
152,onega,63.9061,38.1404,7.08,94,40,7.15,RU,1697094652
153,trapani,37.8333,12.6667,22.38,60,0,1.84,IT,1697094652
154,santa ana,33.7456,-117.8678,18.59,79,0,1.54,US,1697094410
155,vila franca do campo,37.7167,-25.4333,20.23,99,26,4.08,PT,1697094653
156,cestos city,5.46,-9.5828,24.74,89,100,0.64,LR,1697094653
157,urucui,-7.2294,-44.5561,23.07,69,0,0.33,BR,1697094653
158,gopalpur,19.2667,84.9167,31.6,58,0,0.79,IN,1697094653
159,shadegan,30.6497,48.6647,32.97,30,12,3.42,IR,1697094654
160,bardsir,29.9227,56.5743,24.59,13,0,1.73,IR,1697094638
161,aasiaat,68.7098,-52.8699,-8.72,93,100,5.14,GL,1697094654
162,port macquarie,-31.4333,152.9167,22.16,69,5,7.47,AU,1697094654
163,tuni,17.35,82.55,31.59,59,14,2.8,IN,1697094655
164,saipan,15.1355,145.701,29.39,84,100,8.75,MP,1697094547
165,rada tilly,-45.9333,-67.5333,2.27,87,0,2.57,AR,1697094655
166,pokhara,28.2333,83.9833,25.72,63,11,1.94,NP,1697094466
167,lexington,37.9887,-84.4777,13.0,75,0,2.57,US,1697094511
168,georgetown,5.4112,100.3354,30.96,70,20,4.12,MY,1697094415
169,east london,-33.0153,27.9116,20.52,88,20,1.54,ZA,1697094656
170,arinos,-15.9169,-46.1056,24.49,50,30,0.87,BR,1697094487
171,tazovsky,67.4667,78.7,1.71,98,100,2.86,RU,1697094656
172,ancud,-41.8697,-73.8203,4.66,85,6,2.55,CL,1697094657
173,imbituba,-28.24,-48.6703,21.03,95,100,5.1,BR,1697094657
174,isafjordur,66.0755,-23.124,3.02,75,100,13.89,IS,1697094657
175,kavaratti,10.5669,72.642,27.57,74,100,1.67,IN,1697094657
176,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,73,75,8.0,RU,1697094658
177,mitu,1.1983,-70.1733,21.66,98,98,0.66,CO,1697094658
178,owo,7.1962,5.5868,23.29,94,100,1.14,NG,1697094497
179,saddiqabad,28.3062,70.1307,38.48,18,0,5.51,PK,1697094658
180,tionk essil,12.7856,-16.5217,24.92,91,100,1.15,SN,1697094659
181,wynyard,-41.0,145.7167,11.06,77,100,6.5,AU,1697094659
182,howrah,22.5892,88.3103,34.0,52,40,2.06,IN,1697094659
183,'alaqahdari dishu,30.4374,63.313,34.97,9,0,3.19,AF,1697094659
184,zilupe,56.3862,28.1217,11.43,82,100,7.9,LV,1697094659
185,klyuchi,52.2667,79.1667,8.89,60,100,1.8,RU,1697094660
186,hirara,24.8,125.2833,25.15,94,75,4.63,JP,1697094660
187,borkum,53.5809,6.6915,13.97,65,96,4.88,DE,1697094660
188,fale old settlement,-9.3852,-171.2468,28.66,78,13,7.56,TK,1697094660
189,geraldton,-28.7667,114.6,30.23,25,12,9.77,AU,1697094661
190,ouarzazat,30.9189,-6.8934,16.16,31,0,1.54,MA,1697094661
191,weno,7.4515,151.8468,30.97,74,75,2.57,FM,1697094661
192,kayangel,8.0823,134.7173,27.79,81,100,8.54,PW,1697094661
193,stanley,54.868,-1.6985,3.2,93,0,1.54,GB,1697094661
194,bardai,11.65,7.2333,25.11,56,33,1.34,NG,1697094662
195,whittlesea,-32.1759,26.8244,16.37,67,100,6.0,ZA,1697094662
196,novo aripuana,-5.1206,-60.3797,28.29,44,66,0.95,BR,1697094364
197,chui,-33.6971,-53.4616,6.56,71,58,3.57,UY,1697094664
198,hadibu,12.65,54.0333,28.11,75,31,2.24,YE,1697094664
199,tidjikja,18.5564,-11.4271,28.54,44,74,4.55,MR,1697094664
200,okha,53.5739,142.9478,11.36,65,48,8.32,RU,1697094665
201,komsomol'skiy,43.9783,46.6985,9.18,44,0,1.67,RU,1697094665
202,conde,-7.2597,-34.9075,22.7,94,20,1.54,BR,1697094665
203,ust-nera,64.5667,143.2,-7.1,92,100,1.34,RU,1697094665
204,nova sintra,14.8667,-24.7167,24.09,71,98,6.54,CV,1697094666
205,zouerate,22.7187,-12.4521,24.96,15,76,3.55,MR,1697094666
206,shingu,33.7333,135.9833,21.62,67,15,3.18,JP,1697094666
207,takanabe,32.1333,131.5,22.28,55,5,5.61,JP,1697094642
208,port blair,11.6667,92.75,31.02,70,40,2.57,IN,1697094666
209,arraias,-12.9288,-46.9437,23.6,36,18,1.61,BR,1697094667
210,san nicolas,18.1725,120.5953,29.56,75,81,6.41,PH,1697094667
211,thames,-37.1333,175.5333,12.03,78,4,5.14,NZ,1697094667
212,funafuti,-8.5243,179.1942,27.0,94,75,4.63,TV,1697094667
213,sukhobezvodnoye,57.0491,44.8891,4.14,78,100,7.89,RU,1697094668
214,hawaiian paradise park,19.5933,-154.9731,22.8,94,75,2.57,US,1697094668
215,nizhniy kuranakh,58.8353,125.4869,12.06,61,100,5.99,RU,1697094668
216,usogorsk,63.4106,48.6872,-0.74,85,100,5.94,RU,1697094668
217,rongelap,11.1635,166.8941,28.53,78,37,6.35,MH,1697094669
218,hithadhoo,-0.6,73.0833,27.46,70,11,6.37,MV,1697094669
219,amod,21.9833,72.9,33.66,39,0,0.77,IN,1697094669
220,qaqortoq,60.7167,-46.0333,2.16,90,99,3.0,GL,1697094669
221,acarau,-2.8856,-40.12,25.77,80,49,6.39,BR,1697094669
222,olonkinbyen,70.9221,-8.7187,1.63,70,98,10.24,SJ,1697094670
223,cabo san lucas,22.8909,-109.9124,27.09,81,0,4.02,MX,1697094373
224,paita,-5.0892,-81.1144,19.11,87,97,5.16,PE,1697094670
225,chimbote,-9.0853,-78.5783,17.96,91,94,3.79,PE,1697094671
226,kenai,60.5544,-151.2583,3.41,70,100,2.57,US,1697094416
227,preobrazheniye,42.9019,133.9064,18.58,41,2,2.68,RU,1697094671
228,mirpur sakro,24.5474,67.6277,32.91,46,0,6.11,PK,1697094671
229,port alfred,-33.5906,26.891,20.66,90,100,0.45,ZA,1697094671
230,mount pearl,47.5166,-52.7813,11.75,97,100,0.6,CA,1697094672
231,saurimo,-9.6608,20.3916,27.11,54,90,0.82,AO,1697094672
232,vernon,50.2581,-119.2691,9.61,67,98,1.29,CA,1697094454
233,michalovce,48.7543,21.9195,14.97,70,100,5.26,SK,1697094673
234,eyl,7.9803,49.8164,29.72,64,49,3.66,SO,1697094673
235,tamandare,-8.7597,-35.1047,22.91,87,20,1.54,BR,1697094673
236,tumayr,25.7039,45.868,34.54,12,0,1.25,SA,1697094427
237,wagar,16.1525,36.2032,33.17,39,0,6.51,SD,1697094673
238,nakodar,31.1258,75.4733,35.27,16,0,1.08,IN,1697094674
239,ballina,-28.8667,153.5667,27.1,67,0,9.62,AU,1697094674
240,prado del rey,36.7987,-5.5507,18.31,55,2,1.99,ES,1697094674
241,haimen,23.1935,116.6142,25.38,74,47,6.02,CN,1697094674
242,tura,25.5198,90.2201,28.2,69,35,1.81,IN,1697094674
243,lihue,21.9789,-159.3672,25.77,73,40,7.2,US,1697094675
244,vilyuysk,63.7553,121.6247,6.2,60,100,5.81,RU,1697094675
245,summerside,46.3959,-63.7876,11.73,100,92,1.03,CA,1697094675
246,i-n-salah,27.1935,2.4607,24.67,28,29,9.85,DZ,1697094675
247,houlton,46.1262,-67.8403,9.23,95,75,2.06,US,1697094676
248,mount gambier,-37.8333,140.7667,13.22,60,79,5.63,AU,1697094676
249,dudinka,69.4058,86.1778,1.49,93,96,6.71,RU,1697094676
250,talnakh,69.4865,88.3972,0.67,87,86,1.31,RU,1697094638
251,vila velha,-20.3297,-40.2925,23.3,87,75,4.92,BR,1697094676
252,srandakan,-7.9386,110.2506,29.02,63,48,8.05,ID,1697094677
253,nurota,40.5614,65.6886,20.17,24,56,2.8,UZ,1697094677
254,howard springs,-12.497,131.047,32.68,36,6,4.95,AU,1697094677
255,vernal,40.4555,-109.5287,6.84,83,100,3.6,US,1697094677
256,sengkang,-4.1279,120.0297,35.29,26,95,4.46,ID,1697094573
257,bela,25.9333,81.9833,33.6,33,0,1.99,IN,1697094678
258,swan hill,-35.3378,143.5544,18.45,34,55,8.76,AU,1697094678
259,saynshand,44.8824,110.1163,14.19,27,4,1.78,MN,1697094678
260,flying fish cove,-10.4217,105.6791,27.82,78,75,5.66,CX,1697094678
261,formosa,-26.1775,-58.1781,14.42,88,100,4.92,AR,1697094679
262,hammerfest,70.6634,23.6821,0.25,80,0,4.63,NO,1697094679
263,punta arenas,-53.15,-70.9167,6.06,75,75,11.83,CL,1697094622
264,callao,-12.0667,-77.15,18.73,77,75,1.54,PE,1697094679
265,el calafate,-50.3408,-72.2768,2.0,70,78,4.3,AR,1697094679
266,kodinsk,58.6881,99.1844,13.02,64,100,7.59,RU,1697094680
267,mount isa,-20.7333,139.5,34.87,16,37,2.57,AU,1697094680
268,sao joao do paraiso,-15.3136,-42.0144,16.19,93,1,1.66,BR,1697094680
269,yuzawa,39.1667,140.5,16.01,64,70,3.21,JP,1697094680
270,labrador city,52.9463,-66.9114,6.95,100,100,1.54,CA,1697094680
271,golpayegan,33.4537,50.2884,24.82,22,59,8.4,IR,1697094681
272,san patricio,28.017,-97.5169,23.92,93,1,2.52,US,1697094681
273,saint-denis,48.9167,2.3333,17.45,80,75,4.63,FR,1697094681
274,kingston,17.997,-76.7936,25.13,87,86,0.45,JM,1697094429
275,dompu,-8.5356,118.4622,32.4,48,73,1.44,ID,1697094681
276,fall river,41.7015,-71.1551,12.22,83,100,0.0,US,1697094682
277,saint-francois,46.4154,3.9054,14.8,100,0,1.54,FR,1697094682
278,barra de santo antonio,-9.4047,-35.5072,21.6,85,18,2.08,BR,1697094682
279,kununurra,-15.7667,128.7333,37.99,28,92,5.14,AU,1697094683
280,padang,-0.9492,100.3543,28.03,84,99,2.44,ID,1697094445
281,brookings,44.3114,-96.7984,10.1,71,0,5.14,US,1697094513
282,touros,-5.1989,-35.4608,24.85,83,15,5.92,BR,1697094683
283,kuhmo,64.1333,29.5167,3.79,85,100,8.56,FI,1697094683
284,crane,31.3974,-102.3501,19.78,81,0,9.09,US,1697094416
285,snyder,32.7179,-100.9176,20.19,73,0,7.2,US,1697094684
286,alofi,-19.0595,-169.9187,23.53,79,82,6.63,NU,1697094684
287,buka,40.8108,69.1986,27.01,18,99,4.15,UZ,1697094547
288,slave lake,55.2834,-114.769,7.76,80,57,0.98,CA,1697094684
289,labuan,5.2767,115.2417,28.73,72,100,2.27,MY,1697094685
290,cheonan,36.8065,127.1522,22.8,47,97,1.63,KR,1697094685
291,guaratinga,-16.5667,-39.5667,18.26,97,9,0.89,BR,1697094686
